video_title,date_released_utc,view_count,like_count,comment_count,date_collected_utc,video_duration_H,video_duration_M,video_duration_S
How To Make Chocolate Drip,2023-12-08 10:38:02+00:00,23,1,0,2024-08-21 23:41:35.811746+00:00,0,3,17
BAKING FUN FOR KIDS,2023-08-03 02:42:10+00:00,46,4,3,2024-08-21 23:41:36.575727+00:00,0,1,1
Citrus Cup Cake With Vanilla Yoghurt Coated Raisins,2022-12-16 18:30:11+00:00,31,4,4,2024-08-21 23:41:37.297026+00:00,0,12,59
1st Quarter Season Review,2022-12-09 18:30:18+00:00,127,2,0,2024-08-21 23:41:38.052887+00:00,0,14,32
How To Make Signature Brownies,2022-12-02 19:11:08+00:00,29,5,4,2024-08-21 23:41:38.781561+00:00,0,14,56
How To Make Vanilla Swiss Roll,2022-11-25 18:30:08+00:00,32,4,0,2024-08-21 23:41:39.524631+00:00,0,15,0
How To Make Apple Blondies With Chocolate Chip,2022-11-18 18:30:24+00:00,42,4,4,2024-08-21 23:41:40.276405+00:00,0,15,1
How To Make Corn Dogs,2022-11-11 18:30:11+00:00,51,8,2,2024-08-21 23:41:41.066274+00:00,0,14,33
"Bakes, Cake Making Fun ! Season 3!",2022-11-09 05:18:15+00:00,11,2,0,2024-08-21 23:41:41.786070+00:00,0,1,3
Season 2 Finale,2022-07-29 18:30:20+00:00,30,5,4,2024-08-21 23:41:42.534469+00:00,0,14,59
chocolate Chip Loaf,2022-07-22 20:28:50+00:00,27,3,0,2024-08-21 23:41:43.239044+00:00,0,15,51
How To Make Banana Lime Cake the Easy Way.,2022-07-15 18:30:11+00:00,43,6,0,2024-08-21 23:41:44.010259+00:00,0,15,0
How To Make Carrot Puff Puff( Part 2 Baking Fun for Kids),2022-07-08 18:30:19+00:00,36,5,2,2024-08-21 23:41:44.767608+00:00,0,14,50
How To Make Carrot Puff Puff(Baking Fun For Kids Pt 2),2022-07-08 18:30:09+00:00,39,7,0,2024-08-21 23:41:45.484211+00:00,0,14,50
Warm Molten Centered Chocolate Cupcake,2022-07-01 19:26:57+00:00,45,5,2,2024-08-21 23:41:46.179760+00:00,0,13,2
How To Make Hot Dog Buns at Home//homemade hot dog buns,2022-06-24 18:30:13+00:00,73,9,4,2024-08-21 23:41:46.903881+00:00,0,14,59
How To Make Victoria Sponge Cake at home.,2022-06-10 18:30:10+00:00,109,13,6,2024-08-21 23:41:47.653090+00:00,0,14,41
How To Motivate  Your Staff,2022-06-06 20:19:37+00:00,15,6,2,2024-08-21 23:41:48.325136+00:00,0,6,45
Black Forest Cake,2022-06-03 18:30:12+00:00,86,13,0,2024-08-21 23:41:49.098558+00:00,0,14,59
Anniversary Show,2022-05-20 17:25:34+00:00,50,7,8,2024-08-21 23:41:49.858573+00:00,0,11,29
Five Top Skills in Developing Your Team Pt 2,2022-05-16 21:00:37+00:00,11,3,0,2024-08-21 23:41:50.610458+00:00,0,3,36
How To Make Nigerian Meatpie with gas cooker  in 2022(Edited),2022-05-15 22:32:48+00:00,894,6,3,2024-08-21 23:41:51.334454+00:00,0,17,3
How To Make Doughnuts,2022-05-06 18:30:12+00:00,92,10,5,2024-08-21 23:41:52.048366+00:00,0,14,47
5 Top Skills For Your Teams Development,2022-05-04 15:48:39+00:00,15,4,2,2024-08-21 23:41:52.783378+00:00,0,4,14
"How To Make Milk Bread (No Egg, No Butter)",2022-04-29 18:11:29+00:00,69,6,4,2024-08-21 23:41:53.562523+00:00,0,12,9
Crispy Oatmeal Cookies in 20 minutes,2022-04-22 19:43:51+00:00,45,6,0,2024-08-21 23:41:54.305496+00:00,0,13,27
Market Positioning,2022-04-13 18:51:28+00:00,15,3,0,2024-08-21 23:41:55.051962+00:00,0,8,16
Join our Affiliate Team,2022-04-01 17:36:25+00:00,30,7,0,2024-08-21 23:41:55.781258+00:00,0,1,0
