channel_name,subscriber_count,videos_count
@SisiYemmieTV,1.02M subscribers,1.3K videos
@ZeeliciousFoods,1.03M subscribers,780 videos
@FloChinyere,568 тыс. подписчиков,741 видео
@diaryofakitchenlover,183K subscribers,608 videos
@FoodiesAndSpice,98K subscribers,1.1K videos
@Adasrecipes,65.9K subscribers,343 videos
@ChefPlaysfootball,11.3K subscribers,1.5K videos
@nigeriansvsfood,33.7K subscribers,67 videos
@NaijaBakersTV,27.2K subscribers,142 videos
@Allnigerianfoods,14.8K subscribers,78 videos
@CosyFoodie,8.99K subscribers,250 videos
@Temmys_Recipes,1.92K subscribers,220 videos
@mixnbake,2.5K subscribers,73 videos
@sussycakesrecipes,1.49K subscribers,137 videos
@Godiyatreats,766 subscribers,97 videos
@foodnigeria1960,338 subscribers,46 videos
@designwithrinda772,584 subscribers,19 videos
@jesselitascakeplanet3504,435 subscribers,29 videos
@BluCakes,488 subscribers,73 videos
@cookwithFunmi,234 subscribers,41 videos
